YYYY/MM/DD Time,PointA_latitude,PointA_longitude,PointB_latitude,PointB_longitude
2017/10/4 9:04,38.51833016,140.928326,,
2017/10/4 9:04,35.6627,139.6768161,,
2017/10/4 9:09,35.66486174,139.6771594,,
2017/10/4 9:17,36.09984127,140.0786611,,
2017/10/4 9:21,34.87551332,137.0438917,,
2017/10/4 9:36,33.2512644,130.2809872,,
2017/10/4 10:04,34.02316638,131.8507914,34.02339757,131.8490534
2017/10/4 10:05,35.44214577,136.770067,,
2017/10/4 10:26,36.4454067,136.4968598,,
2017/10/4 10:30,31.9142483,131.443512,,
2017/10/4 10:34,34.299165,134.0527475,,
2017/10/4 10:41,32.81792932,130.6918805,32.81796697,130.6918914
2017/10/4 10:54,35.076193,135.7858161,,
2017/10/4 10:57,35.5921221,139.3789703,,
2017/10/4 11:17,35.739793,140.3220404,,
2017/10/4 11:28,35.1689856,136.8850006,,
2017/10/4 11:31,34.3910446,132.4394866,,
2017/10/4 11:43,34.55856842,135.6788051,,
2017/10/4 11:49,35.1670152,136.8838925,35.16592764,136.8852014
2017/10/4 12:24,34.05064938,131.8010939,,
2017/10/4 13:12,32.6439069,130.6980428,,
2017/10/4 13:20,35.2289642,136.9786031,35.22872544,136.979126
2017/10/4 13:33,34.66317127,135.2077183,,
2017/10/4 13:41,37.0635054,140.8677767,,
2017/10/4 13:46,33.1867799,129.6626823,,
2017/10/4 13:52,35.66158375,140.1187805,35.66167547,140.1187152
2017/10/4 13:53,35.67963046,138.5096638,,
2017/10/4 14:42,33.16373969,129.7760348,,
2017/10/4 14:53,35.32333199,139.5063946,,
2017/10/4 14:54,35.7594513,139.8201086,,
2017/10/4 15:00,34.93886562,137.1691695,,
2017/10/4 15:27,35.14348861,138.8364535,,
2017/10/4 15:47,34.26636518,134.1509317,,
2017/10/4 16:24,35.90973572,139.6308166,35.91417757,139.6292837
2017/10/4 16:25,35.75856379,139.760831,,
2017/10/4 16:46,34.6883587,135.80311,,
2017/10/4 17:03,37.17960115,138.2552183,,
2017/10/4 17:28,35.64708174,139.7111983,,
2017/10/4 17:35,33.5531473,130.3794336,,
2017/10/4 17:38,33.9930349,130.9515798,,
2017/10/4 17:45,35.66462662,139.8539463,,
2017/10/4 18:03,35.4959936,137.8433569,,
2017/10/4 19:06,35.3554168,136.8767846,,
2017/10/4 19:34,35.9505355,139.8036018,,
2017/10/4 19:49,35.2207223,136.8046942,,
2017/10/4 19:53,35.2206662,136.8057154,,
2017/10/4 20:14,34.9476656,137.0182482,,
2017/10/4 20:44,35.75603105,139.5510125,,
2017/10/4 21:44,33.2446269,131.6582411,,
2017/10/4 22:20,37.8822684,139.0375306,,
2017/10/4 22:22,37.8823795,139.0373532,,
2017/10/4 22:53,35.70368383,139.6262682,,
2017/10/4 22:56,37.85346786,139.1461167,,
2017/10/4 23:53,34.130556,133.6645253,,
2017/10/5 2:03,33.28971818,130.5302775,,
2017/10/5 2:50,34.9295874,137.1661547,,
2017/10/5 3:11,34.9296003,137.1661643,34.92980497,137.1660559
2017/10/5 5:13,34.27028386,132.5929951,,
2017/10/5 7:02,38.8890333,141.5676576,,
2017/10/5 7:05,35.76064155,139.5474125,35.76064155,139.5474125
2017/10/5 7:25,34.9919048,136.9891477,,
2017/10/5 7:49,35.7317102,140.0949892,,
2017/10/5 7:57,34.7753179,135.6126976,,
2017/10/5 8:06,34.96972697,135.7340317,,
